coach,start_date,end_date
Paulo Cesar Pezzolano Suarez,2021-07-24,2022-01-06
Guillermo Almada,2022-01-07,2025-07-12
Jaime Lozano,2025-07-13,2026-01-09
Esteban Andres Solari Poggio,2026-01-10,2026-04-25
