coach,start_date,end_date
Juan Reynoso,2021-07-27,2022-07-02
Diego Vicente Aguirre Camblor,2022-07-03,2022-08-26
Raul Erasto Gutierrez Jacobo,2022-08-27,2023-02-17
Joaquin Moreno Garduno I,2023-02-18,2023-02-24
Ricardo Ferretti,2023-02-25,2023-08-19
Joaquin Moreno Garduno II,2023-08-20,2024-01-13
Martin Anselmi,2024-01-14,2025-01-28
Vicente Sanchez,2025-01-29,2025-07-12
Nicolas Larcamon,2025-07-13,2026-04-26
Joel Huiqui,2026-04-27,2026-04-27
