coach,start_date,end_date
Robert Siboldi,2021-07-26,2021-10-14
Sebastian Ariel Mendez Pardinas,2021-10-15,2022-07-02
Ricardo Alfredo Valino,2022-07-03,2023-02-10
Cirilo Saucedo Najera I,2023-02-11,2023-02-15
Miguel Herrera,2023-02-16,2024-07-05
Juan Carlos Osorio,2024-07-06,2025-03-16
Cirilo Saucedo Najera II,2025-03-17,2025-07-11
Sebastian Abreu,2025-07-12,2026-04-26
