coach,start_date,end_date
Marcelo Fabian Mendez Russo,2021-07-25,2022-02-05
Andre Jardine,2022-02-06,2023-06-30
Gustavo Leal,2023-07-01,2024-07-05
Domenec Torrent,2024-07-06,2025-07-13
Guillermo Abascal,2025-07-14,2026-04-03
Raul Chabrand Manrique,2026-04-04,2026-04-26
