coach,start_date,end_date
Hector Altamirano Escudero,2021-07-23,2021-09-12
Leonardo Alfredo Ramos Giro,2021-09-13,2022-02-14
Hernan Cristante,2022-02-15,2022-07-04
Mauro Gerk,2022-07-05,2025-01-10
Benjamin Mora,2025-01-11,2026-01-10
Esteban Gonzalez,2026-01-11,2026-04-25
