coach,start_date,end_date
Victor Manuel Vucetich,2021-07-25,2021-09-25
Marcelo Michel Leano,2021-09-26,2022-04-13
Ricardo Cadena Martinez,2022-04-14,2023-01-07
Veljko Paunovic,2023-01-08,2024-01-13
Fernando Gago,2024-01-14,2024-10-18
Arturo Ortega Juarez,2024-10-19,2025-01-11
Oscar Garcia,2025-01-12,2025-03-01
Jose Luis Melendez Galindo,2025-03-02,2025-03-08
Gerardo Espinoza Ahumada,2025-03-09,2025-07-19
Gabriel Milito,2025-07-20,2026-04-26
