coach,start_date,end_date
Ariel Holan,2021-07-24,2022-04-24
Christian Martinez Cedillo,2022-04-25,2022-07-02
Renato Paiva,2022-07-03,2023-01-16
Nicolas Larcamon,2023-01-17,2024-01-17
Jorge Rodrigo Bava,2024-01-18,2024-09-14
Eduardo Berizzo,2024-09-15,2025-10-17
Ignacio Ambriz,2025-10-18,2026-03-18
Alejandro Corona,2026-03-19,2026-03-21
Javier Marcelo Gandolfi,2026-03-22,2026-04-26
