coach,start_date,end_date
Benat San Jose,2021-07-27,2022-03-20
Gabriel Caballero,2022-03-21,2023-02-03
Christian Ramirez Diaz I,2023-02-04,2023-02-10
Ruben Romano,2023-02-11,2023-06-30
Ismael Rescalvo,2023-07-01,2024-04-12
Gilberto Adame Soltero,2024-04-13,2024-07-06
Victor Manuel Vucetich,2024-07-07,2025-07-12
Robert Siboldi,2025-07-13,2026-01-16
Christian Ramirez Diaz II,2026-01-17,2026-01-30
Sergio Rodriguez,2026-01-31,2026-04-25
