coach,start_date,end_date
Nicolas Larcamon,2021-07-26,2023-01-09
Eduardo Arce Pena,2023-01-10,2023-08-25
Ricardo Carbajal,2023-08-26,2024-03-01
Fernando Luis Aristeguieta de Luca,2024-03-02,2024-03-16
Andres Jose Carevic Ghelfi,2024-03-17,2024-07-04
Jose Manuel de la Torre Menchaca,2024-07-05,2025-01-12
Pablo Adrian Guede Barriero,2025-01-13,2025-08-23
Hernan Cristante,2025-08-24,2026-01-09
Albert Espigares,2026-01-10,2026-04-25
