coach,start_date,end_date
Andres Lillini,2021-07-25,2023-01-07
Rafael Puente del Rio,2023-01-08,2023-04-02
Raul Alpizar I,2023-04-03,2023-04-08
Antonio Mohamed,2023-04-09,2024-01-13
Gustavo Lema,2024-01-14,2025-03-01
Raul Alpizar II,2025-03-02,2025-03-07
Efrain Valdez,2025-03-08,2026-04-25
