coach,start_date,end_date
Miguel Herrera,2021-07-26,2023-01-08
Diego Cocca,2023-01-09,2023-02-11
Mario Dominguez Sosa,2023-02-12,2023-02-14
Marco Antonio Ruiz Garcia,2023-02-15,2023-04-15
Robert Siboldi,2023-04-16,2024-07-06
Veljko Paunovic,2024-07-07,2025-03-07
Guido Pizarro,2025-03-08,2026-04-25
