coach,start_date,end_date
Hernan Cristante,2021-07-24,2022-01-10
Ignacio Ambriz,2022-01-11,2023-10-28
Carlos Maria Morales Maeso,2023-10-29,2024-01-12
Renato Paiva,2024-01-13,2025-01-10
Antonio Mohamed,2025-01-11,2026-04-26
