coach,start_date,end_date
Guillermo Almada,2021-07-24,2022-01-12
Pedro Caixinha,2022-01-13,2022-03-13
Eduardo Fentanes,2022-03-14,2023-04-29
Pablo Eduardo Repetto Aquino,2023-04-30,2024-02-18
Ignacio Ambriz,2024-02-19,2025-01-11
Fernando Ortiz,2025-01-12,2025-07-12
Francisco,2025-07-13,2026-02-21
Roberto Jaramillo,2026-02-22,2026-04-26
