coach,start_date,end_date
Ricardo Ferretti,2021-07-24,2022-07-01
Hernan Cristante,2022-07-02,2023-04-13
Diego Andrei Mejia Campo,2023-04-14,2024-02-02
Juan Torres,2024-02-03,2024-02-09
Mauricio Barbieri,2024-02-10,2024-11-01
Salvador Valero,2024-11-02,2025-01-10
Martin Varini,2025-01-11,2026-01-09
Pedro Caixinha,2026-01-10,2026-04-26
