coach,start_date,end_date
Javier Aguirre Onaindia,2021-07-26,2022-03-05
Victor Manuel Vucetich,2022-03-06,2023-06-30
Fernando Ortiz,2023-07-01,2024-08-16
Nicolas Gabriel Sanchez I,2024-08-17,2024-08-23
Martin Demichelis,2024-08-24,2025-07-12
Domenec Torrent,2025-07-13,2026-03-04
Nicolas Gabriel Sanchez II,2026-03-05,2026-04-26
