coach,start_date,end_date
Diego Cocca I,2021-07-25,2023-01-12
Benjamin Mora,2023-01-13,2023-11-01
Omar Alejandro Flores Serrano,2023-11-02,2024-01-14
Benat San Jose,2024-01-15,2025-01-11
Gonzalo Pineda Reyes,2025-01-12,2025-08-16
Diego Cocca II,2025-08-17,2026-04-26
