club,match_id,match_date,era,era_start,era_end,coach_real,coach_id_real,dirigio_la_era
"América","3972016","2025-01-11","Andre Jardine","2023-07-01","2026-04-26","Diego Alberto Cervantes Chávez","1006259","0"
"América","3972023","2025-01-17","Andre Jardine","2023-07-01","2026-04-26","Diego Alberto Cervantes Chávez","1006259","0"
"Guadalajara","3972072","2025-02-16","Oscar Garcia","2025-01-12","2025-02-27","Francisco Manuel Ruano Bausán","1003963","0"
"Guadalajara","3972119","2025-03-16","Gerardo Espinoza Ahumada","2025-03-09","2025-04-20","Héctor Altamirano Escudero","5339","0"
"Tigres UANL","3919090","2024-04-21","Robert Siboldi","2023-04-16","2024-04-28","Miguel de Jesús Fuentes Razo","1001082","0"
"Tigres UANL","4038911","2026-04-04","Guido Pizarro","2025-03-08","2026-04-25","Javier Leonardo Bustos","1008115","0"
