coach,start_date,end_date
Robert Dante Siboldi,2019-09-06,2020-12-11
Juan Reynoso,2021-01-02,2022-05-19
Diego Aguirre,2022-05-30,2022-08-20
Raul Gutierrez,2022-08-28,2023-02-13
Joaquin Moreno I,2023-02-14,2023-02-23
Ricardo Ferretti,2023-02-24,2023-08-07
Joaquin Moreno II,2023-08-08,2023-12-20
Martin Anselmi,2023-12-21,2025-01-22
Vicente Sanchez,2025-01-25,2025-06-06
Nicolas Larcamon,2025-06-16,2026-04-22
Joel Huiqui,2026-04-23,2026-12-31
